CloseBTC,CloseETH
10686.67,351.92
10728.6,353.92
10774.25,357.49
10696.12,353.96
10840.48,359.79
10776.59,359.83
10619.13,352.85
10570.4,345.6
10542.06,345.95
10666.63,352.37
10792.21,353.62
10599.66,340.75
10666.39,341.58
10925.57,350.95
11050.64,365.02
11293.22,370.52
11369.02,374.16
11528.25,386.51
11420.56,381.04
11417.89,378.69
11505.12,377.64
11319.32,365.5
11360.2,368.32
11503.14,378.11
11751.47,379.3
11909.99,368.52
12780.96,390.38
12968.52,413.98
12923.07,409.11
13111.73,412.14
13028.83,405.86
13052.19,392.52
13636.17,403.45
13266.4,388.23
13455.7,387.13
13560.1,382.49
13791,386.46
13761.5,396.67
13549.37,383.02
14023.53,387.88
14144.01,402.49
15590.02,416.69
15579.92,455.91
14818.3,435.21
15475.1,454.3
15328.41,444.32
15297.21,450.34
15684.24,463.09
16291.86,462.39
16320.7,476.43
16070.45,460.89
15957,448.08
16713.57,460.55
17659.38,482.15
17776.12,478.41
17802.82,471.25
18655.67,510.12
18703.8,552.35
18414.43,560.03
18368,608.58
19160.01,604.97
18719.11,569.5
17149.47,519.83
17139.52,518.68
17719.85,537.52
18184.99,576.3
19695.87,616.66
18764.96,585.26
19204.09,596.89
19421.9,615.85
18650.52,567.24
19147.66,596.8
19359.4,601.54
19166.9,591.28
18324.11,554.94
18541.28,573.09
18254.63,558.99
18036.53,544.43
18808.69,568.04
19174.99,590.7
19273.14,586.29
19426.43,588.64
21335.52,637.18
22797.16,642.7
23107.39,653.85
23821.61,658.03
23455.52,638.18
22719.71,607.58
23810.79,636.45
23232.76,585.56
23729.2,612.31
24712.47,626.82
26493.39,637.44
26281.66,685.11
27079.41,730.41
27385,732
28875.54,752.17
28923.63,736.42
29331.69,728.91
32178.33,774.56
33000.05,978.28
31988.71,1041.43
33949.53,1099.56
36769.36,1208.42
39432.28,1224.87
40582.81,1216.93
40088.22,1276
38150.02,1254.25
35404.47,1087.01
34051.24,1050.16
37371.38,1129.89
39144.5,1231.62
36742.22,1168.53
35994.98,1227.83
35828.61,1232.45
36631.27,1258.45
35891.49,1365.36
35468.23,1376.99
30850.13,1110.96
32945.17,1232.62
32078,1233.6
32259.9,1392.51
32254.2,1317.88
32467.77,1365.97
30366.15,1239.03
33364.86,1329.69
34252.2,1379.5
34262.88,1378.05
33092.98,1312.55
33526.37,1374.17
35466.24,1511.87
37618.87,1664.49
36936.66,1595.67
38290.24,1719.19
39186.94,1676.35
38795.69,1611.62
46374.87,1750.15
46420.42,1769.13
44807.58,1740.78
47969.51,1785.62
47287.6,1840.26
47153.69,1814.96
48577.79,1800.42
47911.1,1779.25
49133.45,1781.99
52119.71,1849.88
51552.6,1939.61
55906,1955
55841.19,1913
57408.57,1933.53
54087.67,1777.58
48891,1577.89
49676.2,1623.39
47073.73,1481.75
46276.87,1444.59
46106.43,1458.13
45135.66,1419.18
49587.03,1569.86
48440.65,1486.78
50349.37,1567.69
48374.09,1539.23
48751.71,1528.31
48882.2,1650.35
50971.75,1726.16
52375.17,1833.18
54884.5,1870.51
55851.59,1795.12
57773.16,1825.78
57221.72,1766.1
61188.39,1922.35
58968.31,1848.1
55605.2,1793.48
56900.75,1805.12
58912.97,1823.58
57648.16,1776.08
58030.01,1809.1
58102.28,1806.1
57351.56,1782.98
54083.25,1680.97
54340.89,1668.08
52303.65,1581.84
51293.78,1585.74
55025.59,1698.84
55817.14,1712.63
55777.63,1687.01
57635.47,1816.74
58746.57,1840.46
58740.55,1919.37
58720.44,1968.05
58950.01,2133.69
57051.94,2008.52
56599.99,2019.31
